DATA_EXIBICAO;TITULO_ORIGINAL;TITULO_BRASIL;CPB_ROE;PAIS_OBRA;REGISTRO_SALA;NOME_SALA;PUBLICO;REGISTRO_GRUPO_EXIBIDOR;REGISTRO_EXIBIDOR;REGISTRO_COMPLEXO;MUNICIPIO_SALA_COMPLEXO;UF_SALA_COMPLEXO;RAZAO_SOCIAL_DISTRIBUIDORA;CNPJ_DISTRIBUIDORA
17/04/2020;SONIC THE HEDGEHOG;SONIC - O FILME;E2000012200000;CANADÁ;5005024;CINE GLOBO SANTA ROSA;12;6000010;20979;29163;SANTA ROSA;RS;PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA;27.654.722/0001-16
17/04/2020;SONIC THE HEDGEHOG;SONIC - O FILME;E2000012200000;CANADÁ;5004899;CINE TEATRO GLOBO;8;6000010;20979;20980;TRÊS PASSOS;RS;PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA;27.654.722/0001-16
17/04/2020;THE INVISIBLE MAN;O HOMEM INVISÍVEL;E1900438600000;AUSTRÁLIA;5005024;CINE GLOBO SANTA ROSA;10;6000010;20979;29163;SANTA ROSA;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61
17/04/2020;THE INVISIBLE MAN;O HOMEM INVISÍVEL;E1900438600000;AUSTRÁLIA;5004899;CINE TEATRO GLOBO;5;6000010;20979;20980;TRÊS PASSOS;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61
18/04/2020;MINHA MÃE É UMA PEÇA 3;;B1900576900000;BRASIL;5005024;CINE GLOBO SANTA ROSA;3;6000010;20979;29163;SANTA ROSA;RS;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;07.616.202/0001-01
18/04/2020;MINHA MÃE É UMA PEÇA 3;;B1900576900000;BRASIL;5004899;CINE TEATRO GLOBO;4;6000010;20979;20980;TRÊS PASSOS;RS;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;07.616.202/0001-01
18/04/2020;SONIC THE HEDGEHOG;SONIC - O FILME;E2000012200000;CANADÁ;5005024;CINE GLOBO SANTA ROSA;3;6000010;20979;29163;SANTA ROSA;RS;PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA;27.654.722/0001-16
18/04/2020;SONIC THE HEDGEHOG;SONIC - O FILME;E2000012200000;CANADÁ;5004899;CINE TEATRO GLOBO;4;6000010;20979;20980;TRÊS PASSOS;RS;PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA;27.654.722/0001-16
18/04/2020;THE INVISIBLE MAN;O HOMEM INVISÍVEL;E1900438600000;AUSTRÁLIA;5005024;CINE GLOBO SANTA ROSA;20;6000010;20979;29163;SANTA ROSA;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61
18/04/2020;THE INVISIBLE MAN;O HOMEM INVISÍVEL;E1900438600000;AUSTRÁLIA;5004899;CINE TEATRO GLOBO;4;6000010;20979;20980;TRÊS PASSOS;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61
19/04/2020;MINHA MÃE É UMA PEÇA 3;;B1900576900000;BRASIL;5005024;CINE GLOBO SANTA ROSA;8;6000010;20979;29163;SANTA ROSA;RS;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;07.616.202/0001-01
19/04/2020;MINHA MÃE É UMA PEÇA 3;;B1900576900000;BRASIL;5004899;CINE TEATRO GLOBO;6;6000010;20979;20980;TRÊS PASSOS;RS;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;07.616.202/0001-01
19/04/2020;SONIC THE HEDGEHOG;SONIC - O FILME;E2000012200000;CANADÁ;5005024;CINE GLOBO SANTA ROSA;4;6000010;20979;29163;SANTA ROSA;RS;PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA;27.654.722/0001-16
19/04/2020;SONIC THE HEDGEHOG;SONIC - O FILME;E2000012200000;CANADÁ;5004899;CINE TEATRO GLOBO;4;6000010;20979;20980;TRÊS PASSOS;RS;PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA;27.654.722/0001-16
19/04/2020;THE INVISIBLE MAN;O HOMEM INVISÍVEL;E1900438600000;AUSTRÁLIA;5005024;CINE GLOBO SANTA ROSA;5;6000010;20979;29163;SANTA ROSA;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61
19/04/2020;THE INVISIBLE MAN;O HOMEM INVISÍVEL;E1900438600000;AUSTRÁLIA;5004899;CINE TEATRO GLOBO;5;6000010;20979;20980;TRÊS PASSOS;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61
20/04/2020;SONIC THE HEDGEHOG;SONIC - O FILME;E2000012200000;CANADÁ;5005024;CINE GLOBO SANTA ROSA;6;6000010;20979;29163;SANTA ROSA;RS;PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA;27.654.722/0001-16
20/04/2020;SONIC THE HEDGEHOG;SONIC - O FILME;E2000012200000;CANADÁ;5004899;CINE TEATRO GLOBO;4;6000010;20979;20980;TRÊS PASSOS;RS;PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA;27.654.722/0001-16
21/04/2020;MINHA MÃE É UMA PEÇA 3;;B1900576900000;BRASIL;5005024;CINE GLOBO SANTA ROSA;14;6000010;20979;29163;SANTA ROSA;RS;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;07.616.202/0001-01
21/04/2020;MINHA MÃE É UMA PEÇA 3;;B1900576900000;BRASIL;5004899;CINE TEATRO GLOBO;11;6000010;20979;20980;TRÊS PASSOS;RS;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;07.616.202/0001-01
21/04/2020;SONIC THE HEDGEHOG;SONIC - O FILME;E2000012200000;CANADÁ;5005024;CINE GLOBO SANTA ROSA;4;6000010;20979;29163;SANTA ROSA;RS;PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA;27.654.722/0001-16
21/04/2020;SONIC THE HEDGEHOG;SONIC - O FILME;E2000012200000;CANADÁ;5004899;CINE TEATRO GLOBO;3;6000010;20979;20980;TRÊS PASSOS;RS;PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA;27.654.722/0001-16
21/04/2020;THE INVISIBLE MAN;O HOMEM INVISÍVEL;E1900438600000;AUSTRÁLIA;5005024;CINE GLOBO SANTA ROSA;17;6000010;20979;29163;SANTA ROSA;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61
21/04/2020;THE INVISIBLE MAN;O HOMEM INVISÍVEL;E1900438600000;AUSTRÁLIA;5004899;CINE TEATRO GLOBO;3;6000010;20979;20980;TRÊS PASSOS;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61
22/04/2020;THE INVISIBLE MAN;O HOMEM INVISÍVEL;E1900438600000;AUSTRÁLIA;5005024;CINE GLOBO SANTA ROSA;8;6000010;20979;29163;SANTA ROSA;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61
22/04/2020;THE INVISIBLE MAN;O HOMEM INVISÍVEL;E1900438600000;AUSTRÁLIA;5004899;CINE TEATRO GLOBO;4;6000010;20979;20980;TRÊS PASSOS;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61
23/04/2020;1917;1917;E1900439000000;ESTADOS UNIDOS;5005024;CINE GLOBO SANTA ROSA;4;6000010;20979;29163;SANTA ROSA;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61
23/04/2020;DOLITTLE;DOLITTLE;E1900437900000;ESTADOS UNIDOS;5004899;CINE TEATRO GLOBO;8;6000010;20979;20980;TRÊS PASSOS;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61
23/04/2020;SONIC THE HEDGEHOG;SONIC - O FILME;E2000012200000;CANADÁ;5005024;CINE GLOBO SANTA ROSA;2;6000010;20979;29163;SANTA ROSA;RS;PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA;27.654.722/0001-16
23/04/2020;SONIC THE HEDGEHOG;SONIC - O FILME;E2000012200000;CANADÁ;5004899;CINE TEATRO GLOBO;3;6000010;20979;20980;TRÊS PASSOS;RS;PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA;27.654.722/0001-16
24/04/2020;THE INVISIBLE MAN;O HOMEM INVISÍVEL;E1900438600000;AUSTRÁLIA;5005024;CINE GLOBO SANTA ROSA;4;6000010;20979;29163;SANTA ROSA;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61
24/04/2020;THE INVISIBLE MAN;O HOMEM INVISÍVEL;E1900438600000;AUSTRÁLIA;5004899;CINE TEATRO GLOBO;3;6000010;20979;20980;TRÊS PASSOS;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61
24/04/2020;THE TURNING;OS ÓRFÃOS;E1900570900000;ESTADOS UNIDOS;5005024;CINE GLOBO SANTA ROSA;12;6000010;20979;29163;SANTA ROSA;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61
24/04/2020;THE TURNING;OS ÓRFÃOS;E1900570900000;ESTADOS UNIDOS;5004899;CINE TEATRO GLOBO;5;6000010;20979;20980;TRÊS PASSOS;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61
25/04/2020;1917;1917;E1900439000000;ESTADOS UNIDOS;5005024;CINE GLOBO SANTA ROSA;3;6000010;20979;29163;SANTA ROSA;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61
25/04/2020;DOLITTLE;DOLITTLE;E1900437900000;ESTADOS UNIDOS;5004899;CINE TEATRO GLOBO;4;6000010;20979;20980;TRÊS PASSOS;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61
25/04/2020;SONIC THE HEDGEHOG;SONIC - O FILME;E2000012200000;CANADÁ;5005024;CINE GLOBO SANTA ROSA;2;6000010;20979;29163;SANTA ROSA;RS;PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA;27.654.722/0001-16
25/04/2020;SONIC THE HEDGEHOG;SONIC - O FILME;E2000012200000;CANADÁ;5004899;CINE TEATRO GLOBO;2;6000010;20979;20980;TRÊS PASSOS;RS;PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA;27.654.722/0001-16
25/04/2020;THE INVISIBLE MAN;O HOMEM INVISÍVEL;E1900438600000;AUSTRÁLIA;5005024;CINE GLOBO SANTA ROSA;20;6000010;20979;29163;SANTA ROSA;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61
25/04/2020;THE INVISIBLE MAN;O HOMEM INVISÍVEL;E1900438600000;AUSTRÁLIA;5004899;CINE TEATRO GLOBO;4;6000010;20979;20980;TRÊS PASSOS;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61
25/04/2020;THE TURNING;OS ÓRFÃOS;E1900570900000;ESTADOS UNIDOS;5005024;CINE GLOBO SANTA ROSA;16;6000010;20979;29163;SANTA ROSA;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61
25/04/2020;THE TURNING;OS ÓRFÃOS;E1900570900000;ESTADOS UNIDOS;5004899;CINE TEATRO GLOBO;13;6000010;20979;20980;TRÊS PASSOS;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61
26/04/2020;1917;1917;E1900439000000;ESTADOS UNIDOS;5005024;CINE GLOBO SANTA ROSA;6;6000010;20979;29163;SANTA ROSA;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61
26/04/2020;DOLITTLE;DOLITTLE;E1900437900000;ESTADOS UNIDOS;5004899;CINE TEATRO GLOBO;2;6000010;20979;20980;TRÊS PASSOS;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61
26/04/2020;SONIC THE HEDGEHOG;SONIC - O FILME;E2000012200000;CANADÁ;5005024;CINE GLOBO SANTA ROSA;3;6000010;20979;29163;SANTA ROSA;RS;PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA;27.654.722/0001-16
26/04/2020;SONIC THE HEDGEHOG;SONIC - O FILME;E2000012200000;CANADÁ;5004899;CINE TEATRO GLOBO;4;6000010;20979;20980;TRÊS PASSOS;RS;PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA;27.654.722/0001-16
26/04/2020;THE INVISIBLE MAN;O HOMEM INVISÍVEL;E1900438600000;AUSTRÁLIA;5005024;CINE GLOBO SANTA ROSA;12;6000010;20979;29163;SANTA ROSA;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61
26/04/2020;THE INVISIBLE MAN;O HOMEM INVISÍVEL;E1900438600000;AUSTRÁLIA;5004899;CINE TEATRO GLOBO;9;6000010;20979;20980;TRÊS PASSOS;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61
26/04/2020;THE TURNING;OS ÓRFÃOS;E1900570900000;ESTADOS UNIDOS;5005024;CINE GLOBO SANTA ROSA;5;6000010;20979;29163;SANTA ROSA;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61
26/04/2020;THE TURNING;OS ÓRFÃOS;E1900570900000;ESTADOS UNIDOS;5004899;CINE TEATRO GLOBO;11;6000010;20979;20980;TRÊS PASSOS;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61
27/04/2020;1917;1917;E1900439000000;ESTADOS UNIDOS;5005024;CINE GLOBO SANTA ROSA;14;6000010;20979;29163;SANTA ROSA;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61
27/04/2020;DOLITTLE;DOLITTLE;E1900437900000;ESTADOS UNIDOS;5004899;CINE TEATRO GLOBO;2;6000010;20979;20980;TRÊS PASSOS;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61
27/04/2020;SONIC THE HEDGEHOG;SONIC - O FILME;E2000012200000;CANADÁ;5005024;CINE GLOBO SANTA ROSA;6;6000010;20979;29163;SANTA ROSA;RS;PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA;27.654.722/0001-16
27/04/2020;SONIC THE HEDGEHOG;SONIC - O FILME;E2000012200000;CANADÁ;5004899;CINE TEATRO GLOBO;2;6000010;20979;20980;TRÊS PASSOS;RS;PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA;27.654.722/0001-16
28/04/2020;1917;1917;E1900439000000;ESTADOS UNIDOS;5002102;CINE DRIVEIN;89;;5465;6715;BRASÍLIA;DF;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61
28/04/2020;JUST MERCY;LUTA POR JUSTIÇA;E1900587300000;ESTADOS UNIDOS;5002102;CINE DRIVEIN;133;;5465;6715;BRASÍLIA;DF;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28
28/04/2020;THE TURNING;OS ÓRFÃOS;E1900570900000;ESTADOS UNIDOS;5005024;CINE GLOBO SANTA ROSA;7;6000010;20979;29163;SANTA ROSA;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61
29/04/2020;1917;1917;E1900439000000;ESTADOS UNIDOS;5002102;CINE DRIVEIN;156;;5465;6715;BRASÍLIA;DF;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61
29/04/2020;JUST MERCY;LUTA POR JUSTIÇA;E1900587300000;ESTADOS UNIDOS;5002102;CINE DRIVEIN;165;;5465;6715;BRASÍLIA;DF;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28
29/04/2020;THE INVISIBLE MAN;O HOMEM INVISÍVEL;E1900438600000;AUSTRÁLIA;5005024;CINE GLOBO SANTA ROSA;8;6000010;20979;29163;SANTA ROSA;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61
30/04/2020;1917;1917;E1900439000000;ESTADOS UNIDOS;5002102;CINE DRIVEIN;221;;5465;6715;BRASÍLIA;DF;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61
30/04/2020;GRETEL & HANSEL (2020);MARIA E JOÃO - O CONTO DAS BRUXAS;E1900467000000;ESTADOS UNIDOS;5006194;LITORAL PLAZA 02;179;6000027;22546;41704;PRAIA GRANDE;SP;WMIX DISTRIBUIDORA LTDA.;03.918.609/0001-32
30/04/2020;JUST MERCY;LUTA POR JUSTIÇA;E1900587300000;ESTADOS UNIDOS;5002102;CINE DRIVEIN;271;;5465;6715;BRASÍLIA;DF;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28
30/04/2020;SMALLFOOT;PÉPEQUENO;E1800215200000;ESTADOS UNIDOS;5002102;CINE DRIVEIN;55;;5465;6715;BRASÍLIA;DF;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28
30/04/2020;THE TURNING;OS ÓRFÃOS;E1900570900000;ESTADOS UNIDOS;5005024;CINE GLOBO SANTA ROSA;4;6000010;20979;29163;SANTA ROSA;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61
